,Time,"v(t,i-1)","x(t,i-1)",x_i1,s_i1,v_i1,a_i1,x_i2,s_i2,v_i2,a_i2,x_i3,s_i3,v_i3,a_i3,x_i4,s_i4,v_i4,a_i4,x_i5,s_i5,v_i5,a_i5,x_i6,s_i6,v_i6,a_i6,x_i7,s_i7,v_i7,a_i7,x_i8,s_i8,v_i8,a_i8,x_i9,s_i9,v_i9,a_i9,x_i10,s_i10,v_i10,a_i10
244,244.0,0.0,5270.0,5269.99936836287,0.0006316371300272294,0.00016142871046909856,-4.156793747105214e-05,5269.99584119865,0.003527164220031409,0.001062884984234267,-0.000273698487128017,5269.985667807651,0.010173390998716059,0.003662900808555275,-0.0009431851450544503,5269.959365174752,0.02630263289938739,0.010384492836990302,-0.0026736066176224105,5269.895543257604,0.06382191714783403,0.02669012859162584,-0.006869031930340178,5269.746947182045,0.14859607555899856,0.0646311571312054,-0.01661732874555314,5269.4109387795,0.3360084025453034,0.150295116108936,-0.03854896469949032,5268.668015067639,0.7429237118603851,0.33900418647606306,-0.08643446242505791,5267.057131772873,1.6108832947666087,0.7445058679640343,-0.18706888921157003,5263.637211284313,3.41992048855991,1.5866995369977366,-0.3848579891313874
245,245.0,0.0,5270.0,5269.999496786265,0.0005032137351008714,0.00012842339482200524,-3.300531564709334e-05,5269.996686765862,0.002810020402648661,0.0008455672122094102,-0.00021731777202485685,5269.988581805754,0.008104960108539672,0.0029139981021625793,-0.0007489027063926956,5269.967626676342,0.020955129411959206,0.008261501590008928,-0.002122991246981373,5269.916778212995,0.050848463346483186,0.02123495539084142,-0.0054551732007844175,5269.798376523082,0.11840168991329847,0.051429341037280335,-0.013201816093925066,5269.530580198705,0.26779632437683176,0.11964141920521465,-0.03065369690372135,5268.938131249752,0.5924489489534608,0.2701161821125848,-0.06888800436347822,5267.65170827857,1.2864229711813095,0.5945765056978162,-0.1499293622662181,5264.911316815879,2.74039146269115,1.2741055315667145,-0.3125940054310221
246,246.0,0.0,5270.0,5269.999598990076,0.0004010099237348186,0.00010220381107506696,-2.621958374693828e-05,5269.997359695666,0.0022392944101738976,0.0006729298042105473,-0.0001726374079988629,5269.99090086904,0.006458826625930669,0.0023190632862414196,-0.0005949348159211596,5269.974201587209,0.016699281831279222,0.006574910867559539,-0.0016865907224493891,5269.933678866902,0.04052272030730819,0.016900653906076906,-0.004334301484764515,5269.839313599301,0.0943652676005513,0.040937076219377894,-0.010492264817902438,5269.625841926044,0.2134716732571178,0.09526172733919816,-0.024379691866016493,5269.153362475403,0.4724794506410035,0.21523122565159786,-0.054884956460986956,5268.126313987877,1.0270484875254624,0.4746057093071166,-0.11997079639069957,5265.932672562605,2.19364142527229,1.0213557467255459,-0.2527497848411686
247,247.0,0.0,5270.0,5269.999680355263,0.00031964473691914463,8.136518663209581e-05,-2.0838624442971143e-05,5269.99789541849,0.0017849367732196697,0.0005357228236282293,-0.00013720698058231797,5269.992747092544,0.005148325945810939,0.0018462235035967849,-0.00047283978264463466,5269.979435994033,0.013311098510712327,0.005234406824533062,-0.0013405040430264767,5269.947134306703,0.03230168732989114,0.013455439802114746,-0.0034452141039621595,5269.871908785523,0.07522552118007297,0.032595186222766394,-0.008341889996611502,5269.7017097543285,0.17019903119489754,0.07586782828434702,-0.019393899054851137,5269.324873395966,0.37683635836219764,0.1715109205631052,-0.04372030508849264,5268.505032803986,0.8198405919802099,0.37871881610846014,-0.09588689319865648,5266.7503755933285,1.7546572106575695,0.8177030307232833,-0.20365271600226253
248,248.0,0.0,5270.0,5269.999745151321,0.0002548486791056348,6.479605764349517e-05,-1.6569128988600644e-05,5269.998322046242,0.0014231050790840527,0.00042662775208031963,-0.00010909507154790968,5269.994217352725,0.004104693516637781,0.0014702601815687875,-0.00037596332202799747,5269.983604515582,0.010612837143526122,0.004168521547905875,-0.0010658852766271877,5269.957850134467,0.025754381114893476,0.010715827763614506,-0.0027396120385002392,5269.897869376581,0.05998075788556889,0.02596059105824208,-0.006634595164524315,5269.762146230957,0.13572314562406973,0.060436476628397365,-0.015431351655949653,5269.461560002074,0.30058622888282116,0.13668660610783126,-0.034824314455273946,5268.807177193645,0.6543828084295455,0.30214438965834206,-0.07657442645011807,5267.404418749952,1.402758443692619,0.6540431566236812,-0.16365987409960217
249,249.0,0.0,5270.0,5269.999796767702,0.00020323229819041444,5.161638066538108e-05,-1.3179676978114086e-05,5269.998661896176,0.001134871526119241,0.0003398499338023606,-8.677781827795902e-05,5269.995388557944,0.00327333823133813,0.0011712052194282475,-0.00029905496214054,5269.986925176337,0.00846338160772575,0.0033206607547667448,-0.0008478607931391302,5269.966386610907,0.020538565429887967,0.008536476439731091,-0.002179351323883414,5269.918551433928,0.047835176978878735,0.020682057346793334,-0.005278533711448746,5269.810301229476,0.10825020445190603,0.04815499851839118,-0.01228147811000618,5269.570507822004,0.2397934074715522,0.1089478199297339,-0.027738786178097365,5269.048204890894,0.5223029311100618,0.2410276972500346,-0.06111669240830747,5267.927202255198,1.121002635696641,0.5227835052458564,-0.1312596513778248
250,250.0,0.0,5270.0,5269.999837896573,0.00016210342710110126,4.112887143888083e-05,-1.0487509226500248e-05,5269.998932694308,0.000905202265130356,0.0002707981324671463,-6.905180133521433e-05,5269.996321795052,0.0026108992560693878,0.0009332371071439854,-0.00023796811228426215,5269.9895711552235,0.006750639828169369,0.0026459788868193833,-0.0006746818679473616,5269.973188801167,0.01638235405607702,0.006802190260468146,-0.0017342861792629454,5269.935032472415,0.03815632875284791,0.016481038486703938,-0.004201018860089395,5269.848679178995,0.08635329341996112,0.03837794951889917,-0.009777048999492015,5269.65735913668,0.19132004231505562,0.0868513146755461,-0.022096505254187805,5269.24047175333,0.4168873833496036,0.19226686243577118,-0.048760834814263396,5268.344867514162,0.8956042391682786,0.41766525896384143,-0.10511824628201492
251,251.0,0.0,5270.0,5269.999870677272,0.00012932272784382803,3.2780699676757756e-05,-8.348171762123075e-06,5269.999148526597,0.000722150674846489,0.00021583228947946227,-5.496584298768401e-05,5269.997065606962,0.0020829196355407475,0.0007438119101511187,-0.0001894251969928667,5269.991680073482,0.005385533479966398,0.0021089182581443076,-0.0005370606286750758,5269.978610416186,0.013069657296000514,0.0054216150181308174,-0.001380575242337328,5269.948169007374,0.030441408811384463,0.013136534959505406,-0.0033445035271985313,5269.87927182224,0.06889718513411935,0.030592643245735896,-0.007785306273163271,5269.726606543517,0.15266527872336155,0.06924740683751696,-0.017603907838029148,5269.393844818679,0.3327617248378374,0.1533730653494537,-0.03889379708631748,5268.678441094647,0.7154037240325124,0.3335735804846443,-0.08409167847919714
252,252.0,0.0,5270.0,5269.999896810576,0.00010318942440790124,2.6133303419571117e-05,-6.647396257186639e-06,5269.9993205913515,0.0005762192240581498,0.00017206475442495682,-4.376753505450546e-05,5269.997658585388,0.0016620059632259654,0.0005929784268148519,-0.00015083348333626683,5269.993361342711,0.00429724267723941,0.0016812692295307863,-0.0004276490286135212,5269.982932680787,0.010428661924379412,0.004322264600736035,-0.0010993504173947826,5269.958642135626,0.0242905451605111,0.010473128251948537,-0.002663406707556869,5269.903663591042,0.05497854458462825,0.024391768801068678,-0.006200874444667218,5269.781827226463,0.12183636457848479,0.0552206829457091,-0.014026723891807858,5269.516198426783,0.2656287996796891,0.12235360810435174,-0.031019457245101956,5268.944796539112,0.5714018876715272,0.26635544446488707,-0.06721813601975725
253,253.0,0.0,5270.0,5269.999917649154,8.235084624175215e-05,2.0838578294099255e-05,-5.294725125471861e-06,5269.999457794847,0.0004598543064275873,0.00013720349574874806,-3.486125867620875e-05,5269.998131423343,0.0013263715045468416,0.0004728379542528109,-0.00012014047256204096,5269.994701982383,0.003429440959735075,0.0013406396720559296,-0.00034062955747485665,5269.986379275555,0.008322706828039372,0.0034465947680045487,-0.0008756698327314859,5269.966993655377,0.019385620177672536,0.008351519751069866,-0.0021216085008786702,5269.923115247078,0.0438784082989514,0.019451656037236212,-0.004940112763832468,5269.825869679004,0.09724556807395857,0.04404245254179698,-0.011178230403912122,5269.613813887139,0.21205579186516843,0.09761546035632379,-0.024738147748027954,5269.1574515335715,0.45636235356778343,0.21265499445920666,-0.053700450005680404
